행정동코드,자치구,행정동명,성별,연령대,총인구,1인가구수,커뮤니케이션이 적은 집단,평일 외출이 적은 집단,휴일 외출이 적은 집단,출근소요시간 및 근무시간이 많은 집단,외출이 매우 적은 집단 (전체),외출이 매우 많은 집단,동영상서비스 이용이 많은 집단,생활서비스 이용이 많은 집단,재정상태에 대한 관심집단,외출-커뮤니케이션이 모두 적은 집단 (전체)
1101053,종로구,사직동,1 ,20 ,220 ,68 ,14 ,7 ,4 ,6 ,4 ,5 ,10 ,3 ,4 ,2 
1101053,종로구,사직동,1 ,25 ,321 ,107 ,16 ,12 ,5 ,14 ,5 ,12 ,11 ,22 ,16 ,5 
1101053,종로구,사직동,1 ,30 ,351 ,107 ,19 ,16 ,12 ,12 ,12 ,19 ,17 ,12 ,15 ,8 
1101053,종로구,사직동,1 ,35 ,353 ,105 ,22 ,13 ,7 ,11 ,11 ,17 ,16 ,9 ,7 ,9 
1101053,종로구,사직동,1 ,40 ,419 ,79 ,18 ,7 ,11 ,6 ,12 ,11 ,12 ,6 ,6 ,12 
1101053,종로구,사직동,1 ,45 ,352 ,72 ,15 ,10 ,6 ,8 ,11 ,8 ,12 ,8 ,6 ,9 
1101053,종로구,사직동,1 ,50 ,323 ,49 ,5 ,6 ,5 ,4 ,6 ,3 ,5 ,5 ,7 ,4 
1101053,종로구,사직동,1 ,55 ,350 ,56 ,9 ,5 ,4 ,5 ,14 ,3 ,6 ,7 ,5 ,11 
1101053,종로구,사직동,1 ,60 ,245 ,41 ,5 ,3 ,5 ,3 ,3 ,2 ,5 ,3 ,2 ,4 
1101053,종로구,사직동,1 ,65 ,180 ,30 ,2 ,1 ,6 ,1 ,1 ,1 ,2 ,1 ,4 ,1 
1101053,종로구,사직동,1 ,70 ,173 ,30 ,2 ,2 ,0 ,1 ,1 ,1 ,1 ,2 ,2 ,1 
1101053,종로구,사직동,1 ,75 ,289 ,82 ,5 ,2 ,6 ,2 ,3 ,1 ,2 ,1 ,6 ,4 
1101053,종로구,사직동,2 ,20 ,362 ,115 ,17 ,17 ,3 ,16 ,3 ,6 ,6 ,2 ,0 ,6 
1101053,종로구,사직동,2 ,25 ,366 ,113 ,4 ,5 ,6 ,6 ,4 ,14 ,7 ,13 ,10 ,4 
1101053,종로구,사직동,2 ,30 ,428 ,137 ,14 ,13 ,15 ,12 ,8 ,20 ,13 ,12 ,8 ,14 
1101053,종로구,사직동,2 ,35 ,405 ,100 ,9 ,14 ,6 ,8 ,10 ,13 ,9 ,5 ,3 ,8 
